"cluster","Gene","AvgExpression"
"Cluster_8","MT-CO1""",19501.4137931034
"Cluster_9","MT-CO1""",4423.39130434783
"Cluster_6","MT-CO1""",3937.66666666667
"Cluster_5","MT-CO1""",8342.81081081081
"Cluster_10","MT-CO1""",3486.81538461538
"Cluster_7","MT-CO1""",4184.30612244898
"Cluster_1","MT-CO1""",5251.10810810811
"Cluster_4","MT-CO1""",5780.38888888889
"Cluster_2","MT-CO1""",14803.3571428571
"Cluster_3","MT-CO1""",9719.12765957447
"Cluster_3","MT-ND4""",4825.3829787234
"Cluster_7","MT-ND4""",2683.30612244898
"Cluster_6","MT-ND4""",4411.28571428571
"Cluster_4","MT-ND4""",3344.55555555556
"Cluster_10","MT-ND4""",1743.32307692308
"Cluster_5","MT-ND4""",6059.2972972973
"Cluster_1","MT-ND4""",4120.51351351351
"Cluster_8","MT-ND4""",9500.8275862069
"Cluster_2","MT-ND4""",8234.40714285714
"Cluster_2","MT-ND1""",2656.7
"Cluster_2","MT-ATP6""",3171.09285714286
"Cluster_3","MT-ATP6""",1994.91489361702
"Cluster_8","MT-ATP6""",4403.10344827586
"Cluster_8","MT-CO3""",5271.68965517241
"Cluster_7","MT-CO3""",1828.08163265306
"Cluster_4","MT-CO3""",1765.55555555556
"Cluster_3","MT-CO3""",3181.6170212766
"Cluster_2","MT-CO3""",5216.08571428571
"Cluster_6","MT-CO3""",2418.38095238095
"Cluster_7","MT-RNR2""",5017.16326530612
"Cluster_9","MT-RNR2""",4567.60869565217
"Cluster_3","MT-RNR2""",8591.70212765958
"Cluster_1","MT-RNR2""",7691.86486486487
"Cluster_10","MT-RNR2""",3091.76923076923
"Cluster_8","MT-RNR2""",22620.5172413793
"Cluster_5","MT-RNR2""",11433.9189189189
"Cluster_2","MT-RNR2""",12405.0857142857
"Cluster_6","MT-RNR2""",21740.8095238095
"Cluster_4","MT-RNR2""",7601.16666666667
"Cluster_6","MT-RNR1""",4963.71428571429
"Cluster_3","PPP1CB""",2272.06382978723
"Cluster_1","PPP1CB""",4145.2972972973
"Cluster_9","PPP1CB""",8579.78260869565
"Cluster_7","PPP1CB""",2614.57142857143
"Cluster_10","PPP1CB""",2610.69230769231
"Cluster_4","PPP1CB""",3398.88888888889
"Cluster_2","PPP1CB""",2497.27857142857
"Cluster_2","MEG3""",2921.97142857143
"Cluster_1","SOX2-OT""",6120.02702702703
"Cluster_6","NEAT1""",3984.33333333333
"Cluster_9","MALAT1""",12461.0869565217
"Cluster_1","MALAT1""",16247.7027027027
"Cluster_5","MALAT1""",34211.3783783784
"Cluster_7","MALAT1""",10101.2653061224
"Cluster_6","MALAT1""",15244.380952381
"Cluster_10","MALAT1""",8083.46153846154
"Cluster_3","MALAT1""",19077.1489361702
"Cluster_2","MALAT1""",18895.8285714286
"Cluster_4","MALAT1""",15078.4444444444
"Cluster_8","MALAT1""",37956.8965517241
